2024-01-10 13:23:46.758 +07:00 [INF] Now listening on: http://localhost:5000
2024-01-10 13:23:46.782 +07:00 [INF] Application started. Press Ctrl+C to shut down.
2024-01-10 13:23:46.783 +07:00 [INF] Hosting environment: Development
2024-01-10 13:23:46.783 +07:00 [INF] Content root path: D:\Project\Reactivities\API
2024-01-10 13:24:40.921 +07:00 [WRN] Failed to determine the https port for redirect.
2024-01-10 13:24:40.978 +07:00 [INF] HTTP OPTIONS /api/account/login responded 204 in 0.8969 ms
2024-01-10 13:24:41.126 +07:00 [INF] HTTP POST /api/account/login responded 200 in 132.6198 ms
2024-01-10 13:24:42.204 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.3033 ms
2024-01-10 13:24:42.313 +07:00 [INF] HTTP GET /api/activities responded 200 in 72.8720 ms
2024-01-10 13:44:57.859 +07:00 [INF] HTTP OPTIONS /api/account/login responded 204 in 0.0776 ms
2024-01-10 13:44:57.883 +07:00 [INF] HTTP POST /api/account/login responded 401 in 20.3227 ms
2024-01-10 13:45:00.201 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.3083 ms
2024-01-10 13:45:37.390 +07:00 [INF] HTTP OPTIONS /api/account/login responded 204 in 0.0524 ms
2024-01-10 13:45:37.396 +07:00 [INF] HTTP POST /api/account/login responded 401 in 2.2862 ms
2024-01-10 13:45:48.148 +07:00 [INF] HTTP GET /api/activities responded 200 in 4.0458 ms
2024-01-10 13:45:49.207 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.0513 ms
2024-01-10 13:45:50.202 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.6080 ms
2024-01-10 13:45:52.971 +07:00 [INF] HTTP GET /api/activities responded 200 in 4.8047 ms
2024-01-10 13:46:00.763 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.5479 ms
2024-01-10 13:46:08.832 +07:00 [INF] HTTP OPTIONS /api/account/login responded 204 in 0.0574 ms
2024-01-10 13:46:08.837 +07:00 [INF] HTTP POST /api/account/login responded 401 in 1.5620 ms
2024-01-10 13:47:47.428 +07:00 [INF] HTTP OPTIONS /api/account/login responded 204 in 0.0429 ms
2024-01-10 13:47:47.432 +07:00 [INF] HTTP POST /api/account/login responded 401 in 1.5743 ms
2024-01-10 13:52:23.904 +07:00 [INF] HTTP OPTIONS /api/account/login responded 204 in 0.0411 ms
2024-01-10 13:52:23.910 +07:00 [INF] HTTP POST /api/account/login responded 401 in 2.3127 ms
2024-01-10 13:54:49.222 +07:00 [INF] HTTP OPTIONS /api/accoutn/register responded 204 in 0.0376 ms
2024-01-10 13:54:49.225 +07:00 [INF] HTTP POST /api/accoutn/register responded 404 in 0.1016 ms
2024-01-10 13:57:56.123 +07:00 [INF] HTTP OPTIONS /api/accoutn/register responded 204 in 0.1374 ms
2024-01-10 13:57:56.126 +07:00 [INF] HTTP POST /api/accoutn/register responded 404 in 0.0354 ms
2024-01-10 14:03:08.202 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.3586 ms
2024-01-10 14:03:14.436 +07:00 [INF] HTTP OPTIONS /api/accoutn/register responded 204 in 0.0441 ms
2024-01-10 14:03:14.439 +07:00 [INF] HTTP POST /api/accoutn/register responded 404 in 0.0200 ms
2024-01-10 14:03:25.161 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.9898 ms
2024-01-10 14:03:32.536 +07:00 [INF] HTTP OPTIONS /api/accoutn/register responded 204 in 0.0447 ms
2024-01-10 14:03:32.539 +07:00 [INF] HTTP POST /api/accoutn/register responded 404 in 0.0271 ms
2024-01-10 14:03:44.010 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.3580 ms
2024-01-10 14:03:49.742 +07:00 [INF] HTTP OPTIONS /api/accoutn/register responded 204 in 0.0549 ms
2024-01-10 14:03:49.745 +07:00 [INF] HTTP POST /api/accoutn/register responded 404 in 0.0224 ms
