2024-01-02 12:26:07.443 +07:00 [INF] Now listening on: http://localhost:5000
2024-01-02 12:26:07.468 +07:00 [INF] Application started. Press Ctrl+C to shut down.
2024-01-02 12:26:07.469 +07:00 [INF] Hosting environment: Development
2024-01-02 12:26:07.469 +07:00 [INF] Content root path: D:\Project\Reactivities\API
2024-01-02 12:26:11.377 +07:00 [WRN] Failed to determine the https port for redirect.
2024-01-02 12:26:11.499 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 118.7102 ms
2024-01-02 16:15:22.906 +07:00 [INF] Now listening on: http://localhost:5000
2024-01-02 16:15:22.941 +07:00 [INF] Application started. Press Ctrl+C to shut down.
2024-01-02 16:15:22.942 +07:00 [INF] Hosting environment: Development
2024-01-02 16:15:22.943 +07:00 [INF] Content root path: D:\Project\Reactivities\API
2024-01-02 16:15:42.300 +07:00 [WRN] Failed to determine the https port for redirect.
2024-01-02 16:15:42.420 +07:00 [INF] HTTP GET /api/activities responded 200 in 116.0210 ms
2024-01-02 16:16:11.371 +07:00 [INF] HTTP GET /api/activities responded 200 in 39.7871 ms
2024-01-02 16:16:14.952 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 95.3675 ms
2024-01-02 16:16:15.990 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 4.7594 ms
2024-01-02 16:16:35.042 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 3.4214 ms
2024-01-02 16:16:36.264 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 2.7901 ms
2024-01-02 16:16:40.629 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.3550 ms
2024-01-02 16:16:43.876 +07:00 [INF] HTTP GET /api/activities responded 200 in 3.7013 ms
2024-01-02 16:16:57.891 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 4.7516 ms
2024-01-02 16:16:58.913 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 1.7549 ms
2024-01-02 16:17:05.402 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 2.0116 ms
2024-01-02 16:17:07.072 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 3.2988 ms
2024-01-02 16:17:13.895 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 1.5942 ms
2024-01-02 16:17:13.900 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 1.4856 ms
2024-01-02 16:17:14.914 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 2.0032 ms
2024-01-02 16:17:14.918 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 2.4287 ms
2024-01-02 16:17:14.922 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 1.2688 ms
2024-01-02 16:17:14.926 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 1.5858 ms
2024-01-02 16:17:15.622 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 3.5336 ms
2024-01-02 16:17:16.633 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.3991 ms
2024-01-02 16:17:18.463 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.1465 ms
2024-01-02 16:17:21.740 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 1.7632 ms
2024-01-02 16:17:22.759 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 1.7772 ms
2024-01-02 16:17:22.763 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 1.7527 ms
2024-01-02 16:17:23.778 +07:00 [INF] HTTP GET /api/activities/b435d941-f3eb-4472-b672-df6591725b4a responded 204 in 1.8167 ms
