2024-01-15 09:40:39.956 +07:00 [INF] Now listening on: http://localhost:5000
2024-01-15 09:40:39.991 +07:00 [INF] Application started. Press Ctrl+C to shut down.
2024-01-15 09:40:39.993 +07:00 [INF] Hosting environment: Development
2024-01-15 09:40:39.996 +07:00 [INF] Content root path: D:\Project\Reactivities\API
2024-01-15 09:40:45.205 +07:00 [WRN] Failed to determine the https port for redirect.
2024-01-15 09:40:45.285 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 6.2571 ms
2024-01-15 09:40:45.551 +07:00 [INF] HTTP GET /api/account responded 200 in 186.1077 ms
2024-01-15 09:40:47.978 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.2772 ms
2024-01-15 09:40:48.337 +07:00 [INF] HTTP GET /api/activities responded 200 in 337.2257 ms
2024-01-15 09:43:15.899 +07:00 [INF] HTTP OPTIONS /api/account/register responded 204 in 0.0478 ms
2024-01-15 09:43:15.986 +07:00 [INF] HTTP POST /api/account/register responded 400 in 81.0611 ms
2024-01-15 09:43:29.288 +07:00 [INF] HTTP OPTIONS /api/account/register responded 204 in 0.0507 ms
2024-01-15 09:43:29.298 +07:00 [INF] HTTP POST /api/account/register responded 400 in 3.3670 ms
2024-01-15 09:43:40.537 +07:00 [INF] HTTP OPTIONS /api/account/register responded 204 in 0.0562 ms
2024-01-15 09:43:40.865 +07:00 [INF] HTTP POST /api/account/register responded 200 in 320.5751 ms
2024-01-15 09:48:34.061 +07:00 [INF] HTTP GET /api/activities responded 200 in 8.6281 ms
2024-01-15 09:49:42.292 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.1790 ms
2024-01-15 09:49:42.313 +07:00 [INF] HTTP GET /api/account responded 200 in 7.8246 ms
2024-01-15 09:49:43.783 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0493 ms
2024-01-15 09:49:43.793 +07:00 [INF] HTTP GET /api/activities responded 200 in 3.0396 ms
2024-01-15 09:51:02.411 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.1804 ms
2024-01-15 09:51:02.430 +07:00 [INF] HTTP GET /api/account responded 200 in 2.2779 ms
2024-01-15 09:51:03.789 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.2076 ms
2024-01-15 09:51:03.797 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.8340 ms
2024-01-15 09:51:45.387 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.1350 ms
2024-01-15 09:51:45.436 +07:00 [INF] HTTP GET /api/account responded 200 in 2.9760 ms
2024-01-15 09:51:46.790 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.1053 ms
2024-01-15 09:51:46.802 +07:00 [INF] HTTP GET /api/activities responded 200 in 3.1429 ms
2024-01-15 09:51:58.384 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.1202 ms
2024-01-15 09:51:58.417 +07:00 [INF] HTTP GET /api/account responded 200 in 3.0107 ms
2024-01-15 09:51:59.787 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.1539 ms
2024-01-15 09:51:59.796 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.0204 ms
2024-01-15 09:52:09.253 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0903 ms
2024-01-15 09:52:09.279 +07:00 [INF] HTTP GET /api/account responded 200 in 2.7066 ms
2024-01-15 09:52:10.802 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0728 ms
2024-01-15 09:52:10.816 +07:00 [INF] HTTP GET /api/activities responded 200 in 3.3082 ms
2024-01-15 09:52:11.303 +07:00 [INF] HTTP GET /api/account responded 200 in 4.4565 ms
2024-01-15 09:52:12.383 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.8695 ms
2024-01-15 09:52:16.417 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0875 ms
2024-01-15 09:52:16.437 +07:00 [INF] HTTP GET /api/account responded 200 in 1.9987 ms
2024-01-15 09:52:17.799 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0807 ms
2024-01-15 09:52:17.808 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.1861 ms
2024-01-15 09:52:20.380 +07:00 [INF] HTTP GET /api/account responded 200 in 2.3368 ms
2024-01-15 09:52:20.853 +07:00 [INF] HTTP GET /api/account responded 200 in 2.4655 ms
2024-01-15 09:52:21.911 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.4207 ms
2024-01-15 09:52:30.358 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0396 ms
2024-01-15 09:52:30.377 +07:00 [INF] HTTP GET /api/account responded 200 in 2.0635 ms
2024-01-15 09:52:31.780 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0331 ms
2024-01-15 09:52:31.789 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.5083 ms
2024-01-15 09:52:36.342 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0642 ms
2024-01-15 09:52:36.361 +07:00 [INF] HTTP GET /api/account responded 200 in 1.8499 ms
2024-01-15 09:52:37.786 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0324 ms
2024-01-15 09:52:37.794 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.0184 ms
2024-01-15 09:52:39.361 +07:00 [INF] HTTP GET /api/account responded 200 in 2.4134 ms
2024-01-15 09:52:40.842 +07:00 [INF] HTTP GET /api/activities responded 200 in 3.1681 ms
2024-01-15 09:52:42.345 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0360 ms
2024-01-15 09:52:42.369 +07:00 [INF] HTTP GET /api/account responded 200 in 2.4271 ms
2024-01-15 09:52:43.801 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0523 ms
2024-01-15 09:52:43.810 +07:00 [INF] HTTP GET /api/activities responded 200 in 2.4387 ms
2024-01-15 09:52:55.287 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0756 ms
2024-01-15 09:52:55.308 +07:00 [INF] HTTP GET /api/account responded 200 in 2.1366 ms
2024-01-15 09:52:56.794 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0299 ms
2024-01-15 09:52:56.801 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.4075 ms
2024-01-15 09:53:39.201 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0424 ms
2024-01-15 09:53:39.216 +07:00 [INF] HTTP GET /api/account responded 200 in 4.1809 ms
2024-01-15 09:53:40.789 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0397 ms
2024-01-15 09:53:40.797 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.6405 ms
2024-01-15 09:53:47.227 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0900 ms
2024-01-15 09:53:47.251 +07:00 [INF] HTTP GET /api/account responded 200 in 2.3394 ms
2024-01-15 09:53:48.683 +07:00 [INF] HTTP GET /api/account responded 200 in 2.9231 ms
2024-01-15 09:53:49.812 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0370 ms
2024-01-15 09:53:49.826 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.6070 ms
2024-01-15 09:53:56.355 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0728 ms
2024-01-15 09:53:56.380 +07:00 [INF] HTTP GET /api/account responded 200 in 1.5899 ms
2024-01-15 09:53:57.803 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0480 ms
2024-01-15 09:53:57.813 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.9591 ms
2024-01-15 09:54:04.390 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0318 ms
2024-01-15 09:54:04.411 +07:00 [INF] HTTP GET /api/account responded 200 in 2.1586 ms
2024-01-15 09:54:05.793 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0201 ms
2024-01-15 09:54:05.801 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.8010 ms
2024-01-15 09:54:11.368 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0168 ms
2024-01-15 09:54:11.384 +07:00 [INF] HTTP GET /api/account responded 200 in 1.6444 ms
2024-01-15 09:54:12.440 +07:00 [INF] HTTP OPTIONS /api/activities responded 204 in 0.0165 ms
2024-01-15 09:54:12.447 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.5577 ms
2024-01-15 09:54:14.405 +07:00 [INF] HTTP GET /api/account responded 200 in 2.0371 ms
2024-01-15 09:54:15.782 +07:00 [INF] HTTP GET /api/activities responded 200 in 1.8290 ms
