2024-01-25 10:36:43.605 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0461 ms
2024-01-25 10:36:43.613 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 3.3425 ms
2024-01-25 10:36:48.974 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0494 ms
2024-01-25 10:36:48.989 +07:00 [INF] HTTP GET /api/account responded 200 in 2.5143 ms
2024-01-25 10:36:50.600 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0251 ms
2024-01-25 10:36:50.604 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.1475 ms
2024-01-25 10:37:04.070 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.1055 ms
2024-01-25 10:37:04.099 +07:00 [INF] HTTP GET /api/account responded 200 in 2.0145 ms
2024-01-25 10:37:05.612 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.1152 ms
2024-01-25 10:37:05.619 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.2037 ms
2024-01-25 10:45:53.106 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0337 ms
2024-01-25 10:45:53.122 +07:00 [INF] HTTP GET /api/account responded 200 in 5.6042 ms
2024-01-25 10:45:54.606 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0172 ms
2024-01-25 10:45:54.610 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.1468 ms
2024-01-25 10:45:57.982 +07:00 [INF] HTTP GET /api/account responded 200 in 1.9336 ms
2024-01-25 10:45:59.024 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0378 ms
2024-01-25 10:45:59.040 +07:00 [INF] HTTP GET /api/account responded 200 in 2.1392 ms
2024-01-25 10:46:00.603 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0198 ms
2024-01-25 10:46:00.607 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.1427 ms
2024-01-25 10:46:09.874 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0185 ms
2024-01-25 10:46:09.885 +07:00 [INF] HTTP GET /api/account responded 200 in 2.2828 ms
2024-01-25 10:46:11.602 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0146 ms
2024-01-25 10:46:11.606 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.1518 ms
2024-01-25 10:46:42.014 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0458 ms
2024-01-25 10:46:42.029 +07:00 [INF] HTTP GET /api/account responded 200 in 2.0338 ms
2024-01-25 10:46:43.059 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0145 ms
2024-01-25 10:46:43.063 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.0732 ms
2024-01-25 10:46:51.966 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0194 ms
2024-01-25 10:46:51.992 +07:00 [INF] HTTP GET /api/account responded 200 in 3.8848 ms
2024-01-25 10:46:53.604 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0201 ms
2024-01-25 10:46:53.610 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 2.2123 ms
2024-01-25 10:47:01.928 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0417 ms
2024-01-25 10:47:01.947 +07:00 [INF] HTTP GET /api/account responded 200 in 2.9936 ms
2024-01-25 10:47:03.600 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0143 ms
2024-01-25 10:47:03.605 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.2847 ms
2024-01-25 10:47:06.980 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0451 ms
2024-01-25 10:47:06.994 +07:00 [INF] HTTP GET /api/account responded 200 in 1.9756 ms
2024-01-25 10:47:08.594 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.3139 ms
2024-01-25 10:48:49.899 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0321 ms
2024-01-25 10:48:49.912 +07:00 [INF] HTTP GET /api/account responded 200 in 2.2153 ms
2024-01-25 10:48:51.618 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0225 ms
2024-01-25 10:48:51.627 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 2.1277 ms
2024-01-25 10:48:57.878 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0418 ms
2024-01-25 10:48:57.887 +07:00 [INF] HTTP GET /api/account responded 200 in 2.3530 ms
2024-01-25 10:48:59.601 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0144 ms
2024-01-25 10:48:59.607 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 2.5349 ms
2024-01-25 10:49:01.895 +07:00 [INF] HTTP GET /api/account responded 200 in 2.2166 ms
2024-01-25 10:49:02.919 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.6804 ms
2024-01-25 10:49:14.936 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0392 ms
2024-01-25 10:49:14.951 +07:00 [INF] HTTP GET /api/account responded 200 in 2.1949 ms
2024-01-25 10:49:16.602 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0311 ms
2024-01-25 10:49:16.609 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.7704 ms
2024-01-25 10:49:21.262 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0273 ms
2024-01-25 10:49:21.285 +07:00 [INF] HTTP GET /api/account responded 200 in 3.3813 ms
2024-01-25 10:49:22.599 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0279 ms
2024-01-25 10:49:22.606 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.9566 ms
2024-01-25 10:49:26.985 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0230 ms
2024-01-25 10:49:26.994 +07:00 [INF] HTTP GET /api/account responded 200 in 2.3043 ms
2024-01-25 10:49:28.599 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0384 ms
2024-01-25 10:49:28.607 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.7814 ms
2024-01-25 10:49:30.980 +07:00 [INF] HTTP GET /api/account responded 200 in 1.4588 ms
2024-01-25 10:49:32.005 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 2.1542 ms
2024-01-25 10:49:39.876 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0261 ms
2024-01-25 10:49:39.889 +07:00 [INF] HTTP GET /api/account responded 200 in 1.0036 ms
2024-01-25 10:49:40.317 +07:00 [INF] HTTP GET /api/account responded 200 in 1.6944 ms
2024-01-25 10:49:41.611 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0138 ms
2024-01-25 10:49:41.615 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.9440 ms
2024-01-25 10:50:08.020 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0354 ms
2024-01-25 10:50:08.042 +07:00 [INF] HTTP GET /api/account responded 200 in 1.7465 ms
2024-01-25 10:50:09.604 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0316 ms
2024-01-25 10:50:09.609 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.3459 ms
2024-01-25 10:50:12.873 +07:00 [INF] HTTP GET /api/account responded 200 in 2.6049 ms
2024-01-25 10:50:18.897 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0376 ms
2024-01-25 10:50:18.908 +07:00 [INF] HTTP GET /api/account responded 200 in 1.4552 ms
2024-01-25 10:50:20.598 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0147 ms
2024-01-25 10:50:20.605 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.8312 ms
2024-01-25 10:50:22.991 +07:00 [INF] HTTP GET /api/account responded 200 in 1.5418 ms
2024-01-25 10:50:24.016 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.9585 ms
2024-01-25 10:50:32.869 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0276 ms
2024-01-25 10:50:32.886 +07:00 [INF] HTTP GET /api/account responded 200 in 1.5932 ms
2024-01-25 10:50:33.907 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0138 ms
2024-01-25 10:50:33.912 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.9487 ms
2024-01-25 10:50:54.016 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0303 ms
2024-01-25 10:50:54.031 +07:00 [INF] HTTP GET /api/account responded 200 in 2.1676 ms
2024-01-25 10:50:55.594 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0144 ms
2024-01-25 10:50:55.598 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.8197 ms
2024-01-25 10:51:10.996 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0209 ms
2024-01-25 10:51:11.005 +07:00 [INF] HTTP GET /api/account responded 200 in 2.1321 ms
2024-01-25 10:51:12.597 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0148 ms
2024-01-25 10:51:12.602 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.7402 ms
2024-01-25 10:51:25.993 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0429 ms
2024-01-25 10:51:26.001 +07:00 [INF] HTTP GET /api/account responded 200 in 1.5316 ms
2024-01-25 10:51:26.879 +07:00 [INF] HTTP GET /api/account responded 200 in 1.6919 ms
2024-01-25 10:51:27.910 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0155 ms
2024-01-25 10:51:27.916 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.3138 ms
2024-01-25 10:51:39.923 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0326 ms
2024-01-25 10:51:39.942 +07:00 [INF] HTTP GET /api/account responded 200 in 2.6302 ms
2024-01-25 10:51:41.609 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0335 ms
2024-01-25 10:51:41.613 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.4163 ms
2024-01-25 10:51:44.069 +07:00 [INF] HTTP GET /api/account responded 200 in 2.2353 ms
2024-01-25 10:51:45.092 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.3625 ms
2024-01-25 10:51:47.592 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0136 ms
2024-01-25 10:51:47.603 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 7.5965 ms
2024-01-25 10:51:50.752 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0129 ms
2024-01-25 10:51:50.756 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 0.9697 ms
